ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,MONTHS_BALANCE,OVERDUE_STATUS,APPROVED
5010862,M,N,N,0,158200.0,Pensioner,Secondary / secondary special,Married,Rented apartment,-9483,-6738,1,0,1,0,Security staff,2,6,0,1
5010863,M,N,N,0,44200.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-18191,-8328,1,0,1,0,Accountants,1,51,0,0
5010864,F,N,N,1,194900.0,Working,Higher education,Married,With parents,-12842,365243,1,0,1,1,,2,4,2,0
5010865,M,N,Y,1,171100.0,Working,Higher education,Married,Office apartment,-16932,-3192,1,0,0,0,Security staff,2,43,0,1
5010866,F,N,N,0,66100.0,Commercial associate,Higher education,Married,House / apartment,-23137,-5187,1,0,0,1,Medicine staff,2,9,0,1
5010867,M,Y,Y,1,65800.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-8403,-11644,1,0,0,1,Accountants,3,57,0,0
5010868,M,N,N,0,230300.0,Working,Secondary / secondary special,Married,Municipal apartment,-16248,-11592,1,0,0,0,Cooking staff,2,32,0,1
5010869,F,N,N,1,244900.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-14799,-11936,1,0,0,1,High skill tech staff,2,35,0,1
5010870,F,Y,Y,0,185100.0,Working,Secondary / secondary special,Single / not married,With parents,-7928,-7800,1,0,1,1,Security staff,2,48,0,1
5010871,F,N,Y,0,123600.0,State servant,Secondary / secondary special,Single / not married,House / apartment,-10673,-60,1,0,0,1,Laborers,1,19,0,0
5010872,M,Y,N,2,317100.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-17323,-13008,1,0,0,0,Laborers,4,2,0,1
5010873,F,Y,Y,0,68300.0,Pensioner,Higher education,Married,Office apartment,-16176,365243,1,0,0,1,,2,52,0,1
5010874,F,N,N,0,124100.0,Working,Lower secondary,Single / not married,House / apartment,-18303,-5716,1,1,1,0,Accountants,2,17,0,0
5010875,M,N,N,0,142200.0,State servant,Higher education,Married,House / apartment,-13672,-14269,1,0,1,0,Cooking staff,2,1,0,1
5010876,M,Y,Y,1,107200.0,Commercial associate,Higher education,Civil marriage,House / apartment,-8468,-13233,1,1,1,0,Accountants,3,30,1,0
5010877,F,N,Y,2,124500.0,Working,Secondary / secondary special,Married,With parents,-21098,-7845,1,0,1,0,HR staff,3,31,3,0
5010878,M,Y,Y,1,315500.0,Commercial associate,Higher education,Civil marriage,House / apartment,-11122,-9687,1,0,0,0,Cooking staff,2,4,0,1
5010879,F,N,N,0,126800.0,Working,Secondary / secondary special,Married,House / apartment,-8667,-12137,1,0,0,0,Sales staff,2,40,0,1
5010880,F,N,Y,0,152800.0,Pensioner,Secondary / secondary special,Married,House / apartment,-11028,-1272,1,0,0,0,Accountants,2,32,0,0
5010881,M,Y,Y,1,146700.0,Pensioner,Secondary / secondary special,Married,House / apartment,-14438,-1719,1,1,1,0,Security staff,3,58,0,0
5010882,M,N,Y,1,169400.0,Working,Secondary / secondary special,Married,House / apartment,-11794,-1831,1,0,0,1,Drivers,3,2,1,1
5010883,M,N,N,1,90600.0,Working,Higher education,Single / not married,Municipal apartment,-21435,-10613,1,0,1,1,Security staff,3,34,0,0
5010884,M,N,N,0,122700.0,Pensioner,Secondary / secondary special,Married,With parents,-17116,-9676,1,0,1,0,HR staff,2,49,1,1
5010885,M,Y,N,0,31300.0,Pensioner,Higher education,Married,With parents,-17997,-2947,1,0,0,1,Security staff,2,33,1,1
5010886,F,Y,N,0,187400.0,Commercial associate,Incomplete higher,Separated,House / apartment,-8565,-8784,1,0,1,1,Laborers,1,8,0,1
5010887,M,N,N,1,249600.0,Commercial associate,Higher education,Married,House / apartment,-10399,-4362,1,0,0,0,Core staff,3,40,0,0
5010888,F,N,N,1,234800.0,Working,Secondary / secondary special,Single / not married,Municipal apartment,-16504,-9562,1,0,0,0,Low-skill Laborers,2,42,0,0
5010889,M,N,Y,1,170400.0,Working,Higher education,Single / not married,House / apartment,-20465,-7245,1,1,1,0,Managers,3,33,0,1
5010890,M,N,Y,1,126000.0,State servant,Secondary / secondary special,Separated,House / apartment,-22175,-7087,1,0,1,0,Private service staff,3,28,0,0
5010891,M,N,N,2,91100.0,Pensioner,Secondary / secondary special,Separated,House / apartment,-12794,-13633,1,0,1,0,Laborers,4,24,0,1
5010892,F,Y,Y,0,150500.0,Working,Secondary / secondary special,Married,Co-op apartment,-21906,-11544,1,0,1,1,High skill tech staff,1,53,0,1
5010893,F,N,Y,0,219300.0,Working,Secondary / secondary special,Separated,With parents,-15753,-9857,1,0,1,1,Managers,2,25,0,1
5010894,M,N,N,0,202100.0,Working,Secondary / secondary special,Married,Office apartment,-19148,-11789,1,0,1,0,Cleaning staff,2,42,0,0
5010895,F,Y,N,1,178600.0,Working,Secondary / secondary special,Single / not married,Office apartment,-17064,-13244,1,1,1,0,Cooking staff,2,4,0,0
5010896,F,Y,Y,1,73200.0,Student,Secondary / secondary special,Married,House / apartment,-23693,-5843,1,0,0,1,Security staff,3,25,0,0
5010897,M,N,Y,1,180000.0,Working,Higher education,Married,With parents,-9826,-10676,1,0,1,1,Secretaries,2,25,1,1
5010898,F,N,Y,1,95900.0,Working,Incomplete higher,Civil marriage,House / apartment,-16766,-8520,1,1,0,1,Managers,3,5,0,1
5010899,M,N,Y,2,73400.0,Pensioner,Higher education,Separated,House / apartment,-18475,-11221,1,1,0,0,Accountants,3,11,0,1
5010900,M,Y,Y,1,217900.0,Working,Secondary / secondary special,Married,House / apartment,-16240,-12558,1,0,1,1,Cleaning staff,3,35,0,1
5010901,F,N,Y,0,93400.0,Working,Higher education,Married,House / apartment,-18629,-12582,1,0,1,0,High skill tech staff,1,40,0,0
5010902,M,Y,N,0,199300.0,Commercial associate,Higher education,Civil marriage,House / apartment,-7833,-7740,1,1,0,0,Sales staff,2,1,0,1
5010903,M,Y,Y,2,172800.0,Working,Secondary / secondary special,Single / not married,House / apartment,-17747,-4952,1,1,1,0,Cooking staff,3,30,0,1
5010904,F,N,Y,1,114900.0,Working,Secondary / secondary special,Separated,House / apartment,-17412,-3979,1,0,1,1,Security staff,3,54,2,1
5010905,M,N,N,0,95700.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-18350,-11640,1,0,0,0,Cleaning staff,1,9,0,1
5010906,F,N,Y,0,94200.0,State servant,Secondary / secondary special,Married,House / apartment,-17269,-8372,1,0,0,0,Realty agents,2,35,0,0
5010907,F,N,Y,0,44000.0,Pensioner,Higher education,Married,Municipal apartment,-11635,-12196,1,0,0,1,Low-skill Laborers,1,17,0,0
5010908,F,N,Y,1,218500.0,Working,Secondary / secondary special,Married,House / apartment,-21477,-6883,1,0,0,1,Secretaries,3,7,0,1
5010909,F,Y,N,0,262000.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,-11581,-10587,1,0,0,1,Accountants,1,7,0,1
5010910,F,Y,Y,0,168800.0,Commercial associate,Higher education,Married,House / apartment,-19848,365243,1,0,0,0,,2,40,2,1
5010911,F,N,Y,1,93900.0,Working,Higher education,Married,Rented apartment,-11446,-10203,1,0,1,0,Drivers,3,24,0,0
5010912,M,N,N,0,253500.0,Working,Higher education,Married,With parents,-18804,-2402,1,0,0,0,Core staff,2,39,2,1
5010913,M,Y,N,1,265400.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-11840,-2748,1,0,1,1,Security staff,3,51,0,0
5010914,F,Y,N,1,140900.0,Working,Higher education,Married,House / apartment,-21095,-12403,1,0,0,1,Cleaning staff,2,1,0,0
5010915,F,Y,N,0,226500.0,State servant,Secondary / secondary special,Married,House / apartment,-13402,-13910,1,0,1,0,Private service staff,2,55,0,0
5010916,M,Y,N,0,188700.0,Working,Higher education,Separated,Office apartment,-14297,-6492,1,0,0,0,Cleaning staff,2,12,0,1
5010917,F,N,Y,0,200000.0,Working,Lower secondary,Civil marriage,House / apartment,-12018,-4320,1,0,0,1,High skill tech staff,2,46,0,1
5010918,M,Y,Y,0,101600.0,State servant,Higher education,Separated,Municipal apartment,-12943,-12647,1,0,0,0,Drivers,2,58,0,1
5010919,F,N,Y,1,75100.0,State servant,Secondary / secondary special,Married,With parents,-23103,-5910,1,1,0,0,Laborers,3,50,0,1
5010920,M,N,Y,0,81100.0,Working,Incomplete higher,Married,With parents,-22419,-10215,1,1,1,0,Security staff,2,49,0,0
5010921,M,N,Y,1,207500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-9041,-987,1,0,0,0,Realty agents,2,60,0,0
5010922,M,N,Y,1,85200.0,Pensioner,Secondary / secondary special,Married,House / apartment,-17649,-11918,1,0,0,0,Private service staff,3,47,1,1
5010923,M,Y,N,2,184100.0,Working,Higher education,Widow,House / apartment,-21421,-123,1,0,0,1,HR staff,4,41,0,1
5010924,M,Y,N,0,267000.0,Commercial associate,Secondary / secondary special,Widow,House / apartment,-17013,-10963,1,0,0,0,Accountants,2,20,0,1
5010925,M,Y,Y,0,119100.0,Pensioner,Secondary / secondary special,Married,House / apartment,-13227,-2531,1,0,0,1,Low-skill Laborers,1,3,0,0
5010926,M,Y,Y,0,170300.0,Working,Secondary / secondary special,Widow,House / apartment,-20647,-13441,1,0,0,0,Cooking staff,2,24,0,0
5010927,M,Y,Y,1,150100.0,State servant,Secondary / secondary special,Separated,House / apartment,-17246,-8968,1,0,1,1,Waiters/barmen staff,2,15,1,0
5010928,M,Y,Y,0,186900.0,State servant,Secondary / secondary special,Single / not married,Municipal apartment,-10876,-7434,1,0,0,0,Sales staff,1,29,0,1
5010929,M,Y,Y,0,114500.0,Working,Higher education,Married,House / apartment,-12487,-4117,1,0,0,0,IT staff,2,24,0,1
5010930,M,Y,Y,1,152200.0,Working,Higher education,Married,House / apartment,-8880,-3410,1,1,0,0,Secretaries,2,7,0,1
5010931,M,N,Y,0,31000.0,State servant,Incomplete higher,Married,House / apartment,-21963,-12907,1,0,0,1,Managers,1,18,0,0
5010932,M,Y,N,1,80000.0,Commercial associate,Incomplete higher,Civil marriage,House / apartment,-10698,-5632,1,1,0,0,HR staff,3,50,0,1
5010933,M,Y,Y,1,98200.0,Working,Incomplete higher,Married,House / apartment,-8508,-171,1,0,0,0,Managers,3,15,2,1
5010934,M,N,N,0,155900.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,-22406,-1103,1,0,0,0,HR staff,2,17,1,1
5010935,F,Y,Y,0,208000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-11727,-2881,1,1,0,1,Private service staff,2,36,1,1
5010936,F,N,Y,1,223900.0,Working,Higher education,Civil marriage,House / apartment,-18139,-13268,1,0,1,0,Cooking staff,3,39,0,1
5010937,F,N,Y,0,204200.0,Working,Incomplete higher,Married,House / apartment,-23086,-1252,1,0,1,0,IT staff,2,2,0,1
5010938,F,N,N,0,130900.0,Pensioner,Higher education,Single / not married,House / apartment,-9625,-10566,1,1,1,0,High skill tech staff,1,31,0,0
5010939,F,Y,Y,1,107100.0,State servant,Higher education,Married,With parents,-13271,-1672,1,0,0,0,Cleaning staff,2,17,0,1
5010940,M,N,Y,0,184700.0,Working,Higher education,Single / not married,House / apartment,-11310,-484,1,0,0,1,Accountants,1,38,0,1
5010941,F,N,N,0,196000.0,Working,Secondary / secondary special,Married,House / apartment,-11883,-3351,1,0,0,0,HR staff,2,23,1,1
5010942,F,Y,Y,0,318600.0,Working,Secondary / secondary special,Married,House / apartment,-22212,-1222,1,0,0,0,Laborers,1,37,0,1
5010943,F,Y,Y,2,202100.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-12569,365243,1,0,0,0,,3,37,0,0
5010944,F,Y,N,1,226100.0,Working,Higher education,Married,House / apartment,-11604,-13729,1,0,1,1,Secretaries,3,16,0,1
5010945,M,N,Y,1,220000.0,Commercial associate,Secondary / secondary special,Civil marriage,Rented apartment,-9605,-12455,1,1,0,0,Realty agents,3,6,0,1
5010946,F,Y,N,0,135800.0,Working,Secondary / secondary special,Married,House / apartment,-19905,-7682,1,0,1,0,Medicine staff,2,13,0,1
5010947,F,Y,Y,1,156500.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,-12817,-4810,1,1,0,1,Cleaning staff,3,14,1,1
5010948,M,N,N,1,199400.0,Pensioner,Secondary / secondary special,Married,House / apartment,-8494,-14421,1,0,0,1,Waiters/barmen staff,3,17,0,0
5010949,F,N,Y,0,131000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-12979,-1219,1,1,0,1,Low-skill Laborers,1,57,0,1
5010950,M,Y,N,0,137000.0,Working,Higher education,Single / not married,House / apartment,-21674,-5062,1,1,0,0,Security staff,1,17,0,1
5010951,F,Y,N,0,267600.0,Commercial associate,Incomplete higher,Married,House / apartment,-12351,-9971,1,0,0,0,Low-skill Laborers,2,14,2,1
5010952,F,N,N,0,197600.0,Working,Secondary / secondary special,Separated,Co-op apartment,-20625,-4444,1,1,1,0,Medicine staff,2,60,0,1
5010953,M,N,N,0,319600.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-8984,-10127,1,0,0,0,Cooking staff,2,43,0,0
5010954,F,N,N,0,289700.0,Commercial associate,Secondary / secondary special,Separated,Municipal apartment,-12831,365243,1,1,0,1,,2,19,0,0
5010955,M,N,Y,0,80800.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-17361,-13373,1,1,0,1,Sales staff,2,49,0,0
5010956,F,Y,Y,1,173500.0,Pensioner,Higher education,Married,House / apartment,-7695,-1638,1,0,1,1,Cleaning staff,3,9,0,0
5010957,F,Y,Y,0,228800.0,Working,Higher education,Married,Municipal apartment,-18754,-13234,1,0,1,0,Core staff,2,45,0,1
5010958,F,Y,Y,1,305300.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-23396,-14136,1,0,0,1,Managers,2,44,0,0
5010959,F,Y,Y,0,208000.0,Working,Higher education,Single / not married,House / apartment,-18808,-3743,1,1,0,1,Laborers,2,14,0,1
5010960,M,N,N,0,311200.0,Commercial associate,Higher education,Single / not married,With parents,-20675,-541,1,0,0,0,Private service staff,1,13,0,0
5010961,M,N,N,0,207800.0,Working,Secondary / secondary special,Married,House / apartment,-10464,365243,1,0,1,1,,1,7,2,0
5010962,M,Y,N,0,109300.0,Pensioner,Incomplete higher,Single / not married,House / apartment,-15659,-13311,1,0,0,0,Accountants,1,16,0,1
5010963,M,N,Y,0,167500.0,State servant,Secondary / secondary special,Single / not married,Office apartment,-17991,-7807,1,0,0,0,Medicine staff,2,56,0,1
5010964,M,Y,N,0,172700.0,Working,Secondary / secondary special,Married,House / apartment,-14873,-4039,1,0,0,1,IT staff,1,28,0,1
5010965,M,N,N,0,134300.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-22248,-13330,1,0,0,0,Core staff,1,12,0,1
5010966,M,Y,N,0,123300.0,Pensioner,Secondary / secondary special,Married,Rented apartment,-20274,365243,1,0,0,1,,2,27,0,1
5010967,M,N,N,1,204700.0,Commercial associate,Secondary / secondary special,Married,Rented apartment,-23367,-10105,1,0,0,0,Secretaries,2,1,0,1
5010968,F,Y,Y,0,215400.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-19631,-7178,1,1,0,1,Sales staff,2,9,2,1
5010969,M,N,Y,0,179800.0,Working,Secondary / secondary special,Separated,With parents,-22022,-6780,1,0,1,0,Private service staff,2,2,0,0
5010970,F,N,N,1,67800.0,Working,Higher education,Civil marriage,With parents,-20105,-13365,1,0,0,0,HR staff,3,3,0,1
5010971,M,N,N,1,244500.0,Working,Secondary / secondary special,Married,House / apartment,-10213,-8509,1,1,1,0,Cooking staff,3,56,0,1
5010972,M,N,N,1,258000.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,-21685,-5200,1,1,0,0,Waiters/barmen staff,2,16,1,0
5010973,F,Y,N,1,141500.0,Working,Higher education,Civil marriage,House / apartment,-22925,-3470,1,0,0,0,IT staff,3,52,0,1
5010974,M,N,N,0,217200.0,Working,Higher education,Civil marriage,House / apartment,-17998,-7733,1,0,0,1,Laborers,1,11,0,1
5010975,M,Y,N,2,131500.0,State servant,Higher education,Separated,House / apartment,-12795,-8348,1,0,0,0,Medicine staff,4,7,0,0
5010976,F,N,N,0,189100.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-14428,-11275,1,1,0,1,Realty agents,1,12,0,1
5010977,M,Y,N,0,203600.0,Working,Incomplete higher,Married,House / apartment,-8161,-3858,1,0,1,0,Security staff,1,60,1,1
5010978,M,Y,Y,0,180100.0,Pensioner,Secondary / secondary special,Married,House / apartment,-7909,-11950,1,0,0,1,Accountants,2,60,0,1
5010979,F,N,Y,1,197600.0,Working,Higher education,Married,House / apartment,-13755,-6244,1,0,0,0,Realty agents,3,14,0,1
5010980,M,Y,Y,0,87400.0,Pensioner,Secondary / secondary special,Married,House / apartment,-13093,-9625,1,0,1,0,IT staff,1,44,0,0
5010981,F,N,Y,0,157800.0,Working,Incomplete higher,Married,Co-op apartment,-12611,-4201,1,0,0,0,HR staff,2,33,0,1
5010982,M,Y,N,1,233500.0,Working,Secondary / secondary special,Married,House / apartment,-11207,-6975,1,0,1,0,Low-skill Laborers,3,53,1,1
5010983,F,N,N,0,182600.0,State servant,Lower secondary,Married,Rented apartment,-18591,-6555,1,0,1,0,Cleaning staff,1,44,0,0
5010984,F,N,Y,0,240400.0,Working,Incomplete higher,Married,House / apartment,-13857,-10574,1,0,1,1,Security staff,2,54,0,0
5010985,F,N,Y,0,204800.0,Working,Secondary / secondary special,Married,House / apartment,-23647,-12611,1,0,1,0,Security staff,2,31,2,0
5010986,F,Y,Y,0,228600.0,Working,Secondary / secondary special,Single / not married,With parents,-22128,-7298,1,0,0,0,Secretaries,2,4,0,1
5010987,M,Y,N,1,306800.0,Working,Secondary / secondary special,Single / not married,House / apartment,-19220,-8078,1,0,0,1,Managers,2,33,0,1
5010988,F,Y,N,0,63200.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-21119,-10483,1,0,0,0,Medicine staff,2,58,0,1
5010989,M,Y,Y,0,331700.0,Working,Secondary / secondary special,Married,Municipal apartment,-18470,-663,1,1,1,1,Laborers,2,52,1,1
5010990,F,N,Y,0,239000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-11173,-8464,1,0,1,1,Laborers,2,8,0,1
5010991,F,Y,N,1,230200.0,Pensioner,Secondary / secondary special,Married,Rented apartment,-10584,-9960,1,0,0,0,Realty agents,3,32,0,0
5010992,M,Y,Y,1,118100.0,Working,Secondary / secondary special,Married,House / apartment,-15979,-3769,1,0,0,1,HR staff,2,13,1,1
5010993,F,Y,N,0,204100.0,Working,Secondary / secondary special,Married,House / apartment,-19163,-9626,1,0,0,0,Accountants,1,17,0,1
5010994,M,N,N,0,190000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-16265,-1200,1,0,0,0,Low-skill Laborers,2,35,1,0
5010995,F,Y,Y,0,209500.0,State servant,Secondary / secondary special,Married,House / apartment,-11681,-1449,1,0,0,0,HR staff,2,54,0,1
5010996,F,Y,Y,0,267800.0,Commercial associate,Secondary / secondary special,Widow,House / apartment,-8940,-2963,1,0,0,0,Laborers,1,34,0,0
5010997,M,N,Y,0,258800.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-12315,-4452,1,0,1,1,Security staff,1,54,0,1
5010998,F,Y,Y,1,292700.0,Commercial associate,Higher education,Married,Municipal apartment,-22015,-11127,1,0,0,1,Medicine staff,3,54,0,1
5010999,F,N,Y,0,221400.0,Commercial associate,Higher education,Single / not married,House / apartment,-14791,-3781,1,0,0,0,Drivers,2,10,0,1
5011000,M,Y,Y,0,98300.0,Pensioner,Academic degree,Married,Municipal apartment,-22075,-7960,1,0,1,0,Accountants,1,5,0,1
5011001,F,N,Y,0,185400.0,State servant,Secondary / secondary special,Separated,Co-op apartment,-22207,-6920,1,1,1,1,Core staff,1,4,1,1
5011002,M,N,N,0,188300.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-9969,-1581,1,0,1,0,Cleaning staff,2,47,0,0
5011003,F,N,Y,0,114700.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-11114,-5802,1,1,0,0,Cooking staff,2,58,0,1
5011004,M,N,N,0,89200.0,Working,Secondary / secondary special,Separated,Municipal apartment,-16140,-10457,1,0,0,0,Managers,2,35,0,1
5011005,F,N,Y,1,183500.0,Working,Incomplete higher,Married,House / apartment,-21959,-12050,1,0,1,1,IT staff,2,15,0,0
5011006,F,N,Y,0,155200.0,Commercial associate,Higher education,Married,Municipal apartment,-11891,365243,1,0,0,0,,1,30,0,1
5011007,M,N,Y,1,177900.0,Working,Lower secondary,Married,With parents,-15569,-5758,1,1,0,1,Secretaries,3,48,0,0
5011008,M,N,Y,1,111600.0,Working,Incomplete higher,Civil marriage,House / apartment,-14079,-4033,1,0,1,1,Waiters/barmen staff,3,5,0,0
5011009,F,N,Y,0,178800.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-9093,-1499,1,0,1,0,Cooking staff,2,53,1,0
5011010,F,N,N,0,236700.0,Working,Secondary / secondary special,Married,House / apartment,-16317,-631,1,1,0,1,Low-skill Laborers,1,13,0,0
5011011,M,Y,N,1,95000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-18283,-4227,1,0,1,0,Core staff,3,40,0,1
5011012,M,Y,Y,0,121200.0,Working,Higher education,Civil marriage,House / apartment,-18097,-9668,1,0,1,1,Accountants,1,28,0,1
5011013,M,Y,Y,0,292900.0,Commercial associate,Higher education,Civil marriage,House / apartment,-18316,-2083,1,0,0,0,Cooking staff,1,1,0,1
5011014,F,Y,Y,0,237500.0,Working,Secondary / secondary special,Married,Municipal apartment,-20469,-6605,1,0,0,0,HR staff,2,13,0,1
5011015,F,N,N,0,264100.0,Commercial associate,Incomplete higher,Married,House / apartment,-23078,-4925,1,0,0,1,Managers,2,2,0,1
5011016,F,Y,Y,0,150700.0,Working,Higher education,Married,House / apartment,-23280,-4850,1,0,0,0,Security staff,2,49,0,1
5011017,F,N,Y,3,140300.0,Working,Lower secondary,Married,House / apartment,-12826,-12774,1,0,0,0,Cooking staff,4,24,0,1
5011018,F,N,N,0,159100.0,Working,Secondary / secondary special,Married,House / apartment,-9851,-4746,1,0,1,0,Laborers,2,25,0,0
5011019,M,N,N,2,176300.0,Working,Higher education,Single / not married,House / apartment,-9330,-7847,1,0,0,0,Sales staff,3,17,0,1
5011020,M,N,N,1,71300.0,Working,Higher education,Married,House / apartment,-20206,-7314,1,0,0,1,High skill tech staff,3,18,0,1
5011021,F,Y,Y,3,150900.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-14627,-5159,1,0,1,0,Laborers,5,5,2,0
5011022,F,Y,Y,0,230000.0,State servant,Secondary / secondary special,Married,House / apartment,-15445,-9250,1,0,1,1,Realty agents,1,3,0,1
5011023,M,N,Y,1,246700.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-12404,-12788,1,1,0,0,IT staff,3,5,0,1
5011024,M,N,N,0,328800.0,Commercial associate,Secondary / secondary special,Married,Municipal apartment,-11837,-6439,1,0,0,0,Realty agents,2,56,2,1
5011025,F,N,N,0,311800.0,Commercial associate,Higher education,Married,House / apartment,-16486,-6814,1,1,0,1,Secretaries,2,37,2,1
5011026,M,N,Y,0,160300.0,Working,Incomplete higher,Married,House / apartment,-12021,-12702,1,0,1,0,Low-skill Laborers,2,32,1,1
5011027,M,N,N,0,206100.0,Commercial associate,Academic degree,Single / not married,House / apartment,-16808,-10736,1,0,1,0,HR staff,2,37,0,1
5011028,F,N,Y,2,307800.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-19884,-6781,1,0,0,1,Medicine staff,4,2,0,1
5011029,M,N,N,0,227800.0,Working,Higher education,Single / not married,House / apartment,-13261,-3166,1,1,0,0,Drivers,1,42,0,1
5011030,F,N,Y,0,161500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-16937,-10890,1,0,0,1,High skill tech staff,2,58,1,1
5011031,M,Y,Y,0,179100.0,Working,Secondary / secondary special,Single / not married,House / apartment,-22803,-5345,1,1,1,1,Security staff,1,60,1,1
5011032,M,Y,Y,0,189000.0,Working,Higher education,Separated,House / apartment,-19871,-9167,1,0,1,1,Drivers,2,34,0,1
5011033,F,Y,N,1,209400.0,Commercial associate,Lower secondary,Married,House / apartment,-10521,-7440,1,1,0,0,Medicine staff,2,1,0,1
5011034,M,N,Y,0,117800.0,Pensioner,Lower secondary,Married,With parents,-12805,-8065,1,0,1,0,Managers,2,41,0,0
5011035,F,N,Y,4,91200.0,Pensioner,Secondary / secondary special,Married,House / apartment,-11175,-7437,1,0,0,0,High skill tech staff,6,26,0,1
5011036,M,Y,N,2,175300.0,Working,Higher education,Civil marriage,Rented apartment,-16282,-9671,1,1,1,0,Low-skill Laborers,4,8,0,1
5011037,F,Y,N,0,217100.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,-13863,-11856,1,1,0,1,Security staff,1,35,0,1
5011038,F,N,N,0,50400.0,Student,Higher education,Single / not married,House / apartment,-12379,-10997,1,0,0,0,Cooking staff,2,47,0,1
5011039,F,Y,N,0,229800.0,Working,Secondary / secondary special,Married,House / apartment,-16205,-8561,1,0,0,0,IT staff,2,19,0,1
5011040,M,N,N,1,116500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-16626,-2197,1,0,1,0,Secretaries,3,59,0,0
5011041,M,Y,N,2,,Working,Academic degree,Married,House / apartment,-16094,-12854,1,0,1,0,Accountants,4,52,0,1
5011042,M,Y,Y,0,81300.0,Pensioner,Secondary / secondary special,Married,House / apartment,-14532,-8309,1,0,1,1,Managers,1,36,0,1
5011043,F,N,Y,1,126600.0,Working,Incomplete higher,Married,House / apartment,-19312,-13145,1,0,1,1,High skill tech staff,3,6,0,1
5011044,M,Y,Y,2,88000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-11632,-13669,1,0,0,0,Core staff,4,29,0,1
5011045,M,Y,Y,0,209700.0,Working,Higher education,Single / not married,House / apartment,-8969,-6507,1,0,1,1,Laborers,2,57,0,1
5011046,M,Y,Y,2,37800.0,Working,Lower secondary,Married,House / apartment,-8711,-5489,1,0,1,0,Managers,4,31,0,1
5011047,M,Y,Y,1,190600.0,Working,Secondary / secondary special,Married,Office apartment,-22816,-10160,1,0,0,0,Laborers,2,45,1,1
5011048,M,Y,Y,0,182900.0,Working,Secondary / secondary special,Separated,House / apartment,-11733,-2492,1,0,0,0,Waiters/barmen staff,2,50,0,0
5011049,M,N,N,0,79300.0,Pensioner,Higher education,Single / not married,Rented apartment,-8559,-11583,1,0,1,0,Cooking staff,1,14,0,0
5011050,M,Y,N,2,191500.0,Working,Secondary / secondary special,Married,Office apartment,-9505,-11762,1,0,0,0,Cleaning staff,4,30,0,1
5011051,F,Y,N,0,103600.0,Working,Secondary / secondary special,Widow,House / apartment,-17953,-5252,1,0,1,0,Private service staff,2,16,0,1
5011052,M,Y,N,0,118200.0,Pensioner,Secondary / secondary special,Single / not married,Rented apartment,-12587,-5373,1,1,1,0,Accountants,2,31,0,1
5011053,M,N,Y,2,101200.0,Working,Secondary / secondary special,Married,With parents,-16194,-4203,1,0,1,0,Waiters/barmen staff,4,1,1,1
5011054,F,N,Y,1,395100.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-19718,-3757,1,0,1,1,Core staff,3,5,0,1
